n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
1,10,20,10,30,1,1558517069.0124445,1
2,10,80,10,30,1
2,10,80,10,30,1,1558517079.0601206,1
3,20,80,10,30,1
3,20,80,10,30,1,1558517089.090113,1
4,20,20,10,30,1
4,20,20,10,30,1,1558517099.0909164,1
1,10,20,10,30,1,1558517153.7744753,1
2,10,80,10,30,1
2,10,80,10,30,1,1558517163.7979746,1
3,20,80,10,30,1
3,20,80,10,30,1,1558517173.8441715,1
4,20,20,10,30,1
4,20,20,10,30,1,1558517183.8597007,1
1,10,20,10,30,1,1558517223.3900638,1
2,10,80,10,30,1
2,10,80,10,30,1,1558517233.4122362,1
3,20,80,10,30,1
3,20,80,10,30,1,1558517243.4611633,1
4,20,20,10,30,1
4,20,20,10,30,1,1558517253.4809964,1
1,10,20,10,30,1,1558743707.2322733,1
2,10,80,10,30,1
2,10,80,10,30,1,1558743717.250968,1
3,20,80,10,30,1
3,20,80,10,30,1,1558743727.2741292,1
4,20,20,10,30,1
4,20,20,10,30,1,1558743737.2920356,1
1,10,20,10,30,1,1561281195.6140246,1
2,10,80,10,30,1
2,10,80,10,30,1,1561281205.5893524,1
3,20,80,10,30,1
3,20,80,10,30,1,1561281215.6643088,1
4,20,20,10,30,1
4,20,20,10,30,1,1561281225.622553,1
4,20,20,10,30,1,1561281235.575437,2
4,20,20,10,30,1,1561281245.604757,3
4,20,20,10,30,1,1561281255.6171508,4
4,20,20,10,30,1,1561281265.5948281,5
4,20,20,10,30,1,1561281275.632277,6
4,20,20,10,30,1,1561281285.5997488,7
4,20,20,10,30,1,1561281295.6921742,8
4,20,20,10,30,1,1561281305.6232677,9
4,20,20,10,30,1,1561281315.625309,10
4,20,20,10,30,1,1561281325.6479955,11
4,20,20,10,30,1,1561281335.6571274,12
4,20,20,10,30,1,1561281345.6890242,13
4,20,20,10,30,1,1561281355.6417227,14
4,20,20,10,30,1,1561281365.6819246,15
4,20,20,10,30,1,1561281375.6496491,16
4,20,20,10,30,1,1561281385.6904316,17
4,20,20,10,30,1,1561281395.6877537,18
4,20,20,10,30,1,1561281405.6623123,19
4,20,20,10,30,1,1561281415.6636708,20
4,20,20,10,30,1,1561281425.6709952,21
4,20,20,10,30,1,1561281435.8071198,22
4,20,20,10,30,1,1561281445.6517005,23
4,20,20,10,30,1,1561281455.6894658,24
4,20,20,10,30,1,1561281465.6380932,25
4,20,20,10,30,1,1561281475.650927,26
1,10,20,10,30,1,1561281486.395499,1
2,10,80,10,30,1
1,10,20,10,60,1,1561281541.654908,1
2,10,80,10,60,1
2,10,80,10,60,1,1561281551.6206038,1
3,20,80,10,60,1
3,20,80,10,60,1,1561281561.6348023,1
4,20,20,10,60,1
4,20,20,10,60,1,1561281571.6590455,1
4,20,20,10,60,1,1561281581.6843655,2
4,20,20,10,60,1,1561281591.6249962,3
4,20,20,10,60,1,1561281601.6000843,4
1,10,20,10,120,1,1561281609.194608,1
2,10,80,10,120,1
2,10,80,10,120,1,1561281619.1715539,1
3,20,80,10,120,1
1,10,20,10,120,1,0.4322526454925537,1
1,10,20,10,120,1,10.375270128250122,2
1,10,20,10,120,1,20.369274616241455,3
1,10,20,10,120,1,30.374634265899658,4
